Perturbation GeneID X60.0 X63.0 X66.0 X69.0 X72.0 X75.0 X78.0 X81.0 X84.0 X87.0 X90.0 X93.0 X96.0 X99.0 X102.0 X105.0 X108.0 X111.0 X114.0 X117.0 X120.0 X123.0 X126.0 X129.0 X132.0 X135.0
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3.15037433832207e-16 1.70997102136941e-06 0.0312628450531564 0.0950335803668372 0.0814286443379608 0.0622359264303607 0.0424627380858139 0.0258629293304602 0.01406210424987 0.00682536365301084 0.0029573597615883 0.00114389300841543 0.000394974932544414
0 2 0 0 0 0 0 0 0 0 0 0 4.11826050347982e-15 2.6116447480353e-08 0.000346686891151976 0.0164135717643738 0.0255404305147761 0.0234985751629583 0.020459541540446 0.0168969285419683 0.0132366217192412 0.00983567269973889 0.00693247799350492 0.00463479416395502 0.00293920531152778 0.00176801895455257 0.00100879153684452 0.000545975888945183
0 3 0.000204075981190273 0.000706940896015441 0.00212666591709134 0.00555572048852683 0.0126039437778576 0.024831186893041 0.0424828312337064 0.0631181669761634 0.0814367167101333 0.0856581099903376 2.04962508914165e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 4 1.41923768743976e-19 4.00199195679235e-17 7.36018287106029e-15 8.83553711411164e-13 6.92986823275211e-11 3.55530778481046e-09 1.19489115206142e-07 2.63562232405302e-06 3.82443253780007e-05 0.000366184541547737 0.00232272601414801 0.00981083972483311 0.0277824056852274 0.0532150629202391 0.0697339736647509 0.0634104535890219 0.0406884914978506 0.0187647869671801 0.00633271589626542 0.00158811443824135 0.000299263967822832 4.26610943332279e-05 4.61612414113665e-06 3.79660993341528e-07 2.3746253744428e-08 1.12962489471588e-09
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1.21048198416553e-15 3.69833049946093e-06 0.037862005268997 0.09459463984611 0.0805707460355924 0.0612365890682088 0.0415477472744736 0.0251644157870991 0.0136059573547605 0.00656710923819095 0.00282958182650347 0.00108836146478643 0.000373703303892156
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.11028502760519e-17 1.68160181562927e-09 7.88105818191909e-05 0.0109464918667377 0.0256133997887922 0.0240254217249196 0.0211494287577945 0.0176597064990584 0.0139870407997332 0.0105081369096781 0.00748829808457404 0.00506171916407344
1 3 5.36191828804065e-08 3.73872769015949e-07 2.26387492837921e-06 1.19043579558251e-05 5.43606294670909e-05 0.000215569804968122 0.000742363025025319 0.00222008544169556 0.00576564630856983 0.0130032303989931 0.0254670986346453 0.0433144331412085 0.0639750673979569 0.0820566572647095 0.0830638840841872 9.05004802026118e-06 0 0 0 0 0 0 0 0 0 0
1 4 4.77406757632024e-17 8.65897447789682e-15 1.02515269729284e-12 7.93000291152584e-11 4.0127024221982e-09 1.33021793435551e-07 2.89428893178436e-06 4.14312287777547e-05 0.000391391955485573 0.00244976741704129 0.0102124944065492 0.0285498685542396 0.0540032728536389 0.0699136945877387 0.0628393662469678 0.0398793207495245 0.0182006566055652 0.00608192130621803 0.00151087456310309 0.000282111461593252 3.9855227170753e-05 4.27413170913324e-06 3.48413246778623e-07 2.15985927369141e-08 1.01835019815457e-09 3.65193724415386e-11
2 1 0 0 0 0 0 0 0 0 0 0 0 3.6858018364503e-15 6.57969364298663e-06 0.0432315618457633 0.0942271497063031 0.0798974064895015 0.0604622192312356 0.0408449498516995 0.0246317650087107 0.0132603681042333 0.00637262715103898 0.00273391067632026 0.00104701526698863 0.000357951832196523 0.0001092443656133 2.97629782069926e-05
2 2 0 0 0 0 0 0 0 0 0 0 2.83158402060278e-12 1.7784113728511e-06 0.00262889276558485 0.0234722982670368 0.0249521055558323 0.0224618395364233 0.019178048704199 0.0155317729961682 0.0119315034826389 0.00869414403275812 0.00600919102071535 0.00393969597785112 0.00245000476523837 0.00144520238495105 0.000808626427191121 0.000429165410946058
2 3 4.493614119756e-06 2.23237209924734e-05 9.63079965593021e-05 0.000360813736657096 0.00117389358760582 0.00331664775294124 0.00813757343343237 0.0173386565525473 0.0320819619714075 0.0515503178544047 0.0719327605347688 0.0871653873065328 0.0222112611523978 3.83113664008861e-10 0 0 0 0 0 0 0 0 0 0 0 0
2 4 2.07782003334063e-13 1.86079945464332e-11 1.08963134902518e-09 4.17776136570104e-08 1.05060534858972e-06 1.73666930037712e-05 0.000189232171460036 0.0013641209422191 0.00653663733568203 0.0209510613104015 0.0452845654157491 0.0667067500652952 0.067864619949197 0.0484547620712304 0.0247216314213989 0.00917979593909674 0.00252190653419437 0.000519053848308088 8.0681417068024e-05 9.51186283374914e-06 8.52122044440288e-07 5.80467336994292e-08 3.00734320982322e-09 1.18505928357968e-10 3.55184378290537e-12 8.09701975120793e-14
0 5 0.00185316675618329 0.00276492700437611 0.00402732754066914 0.00572683072515563 0.00795015970829716 0.010774607845289 0.014255787211038 0.0184138689728083 0.0232200422321159 0.0285854526663187 0.0343550997369478 0.0403088022636917 0.0461675906659005 0.0515662538955022 0.0557496427794493 0.056542292976216 0.0499318772991323 0.0345245473021098 0.0168995300367553 0.00544209359520993 0.00110020784441236 0.000135687869943213 1.0029065729071e-05 4.392634262167e-07 1.13160004782314e-08 1.70586553646994e-10
0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.79295702382829e-11 1.35912910583948e-05 0.00795913279419067 0.0288027457080247 0.0269204044268362 0.0230038501498922 0.0183396754082603 0.0136412890601904 0.00946655212465355 0.0061291591897587
0 7 0 0 0 0 0 0 0 0 0 0 8.64143205536728e-18 2.75749063067918e-14 3.39719613358634e-11 1.39512199158725e-08 1.92966767629799e-06 9.14626785131964e-05 0.00153185708536248 0.00961060770728573 0.0253554787419421 0.0348434767660471 0.0333893809583112 0.0276763720382458 0.0212252292249107 0.0151776947286375 0.0101229377335789 0.00629733252509876
0 8 0.00150158637532968 0.00324273337664842 0.00638259697317712 0.0114334705065888 0.0186118089989381 0.0274882982641713 0.0367769008190974 0.0445046048481671 0.048640641827839 0.0479464626019977 0.0425713528150688 0.0340069731050414 0.0244140800944628 0.0157366427067363 0.00909921119699448 0.00471602617955046 0.00218941092818165 0.000909888719768335 0.000338314494607055 0.000112489627243871 3.34330435168269e-05 8.87858884942493e-06 2.10604731800575e-06 4.46083640724873e-07 8.43471914222678e-08 1.4233963965518e-08
1 5 0.000134429941638129 0.000279308654571294 0.000555392072123264 0.00105691937709976 0.00192491228716986 0.0033551112861141 0.00559667149022977 0.00893469233333866 0.0136507429631184 0.0199599696610888 0.0279312495555431 0.0374065584859407 0.0479437450803592 0.0588076168125869 0.0689699745832163 0.0762290181809256 0.0726560089189661 0.0479767369510505 0.0170599037147598 0.0027470655703199 0.00018234893453956 4.7520697224852e-06 4.7349998317175e-08 1.77652276589947e-10 2.48620884562377e-13 1.18284334280095e-16
1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.74417513058488e-13 3.66663687743004e-08 0.000117229887342491 0.00729256606375524 0.0217029580694418 0.021797395246644 0.0198326285073021 0.0173052898390955 0.0144828251335604 0.0116252822930103 0.00895013403049466
1 7 0 0 0 0 0 0 0 0 0 0 0 6.23536579487788e-16 2.19337662321456e-12 2.17512159689596e-09 6.13643025928573e-07 5.01605437224115e-05 0.00122813304680271 0.00961524645993501 0.027571254801739 0.0376391941171812 0.0349418861546028 0.0280308058016749 0.0206484982372982 0.0140369544320838 0.00880731737400602 0.00510036392869627
1 8 0.0066765392692434 0.00991324213816059 0.0139778836542776 0.0187050854441441 0.0237411698078603 0.0285630033722803 0.0325541664386856 0.0351285790705574 0.0358696194990529 0.0346400009224175 0.0316227369185057 0.0272765953841294 0.0222209222047825 0.0170899380906904 0.0124040510599818 0.00849340362367719 0.00548475723032267 0.00333936441904945 0.00191639335606207 0.00103636614586853 0.000528021575583841 0.000253402186801378 0.000114526804372123 4.87378928002721e-05 1.9526309893282e-05 7.36383682352341e-06
2 5 0.000369005994428101 0.000676658354136682 0.0011964389883328 0.00203984302525753 0.00335342054596213 0.00531574789562823 0.00812504571254261 0.0119749120451272 0.0170178203029777 0.0233195742298217 0.0308121768669658 0.0392562871510528 0.0482258953822507 0.0571208359676472 0.0650944029603684 0.0699221864959474 0.0647722007791452 0.0432807114171862 0.0172483742137532 0.00358980132110744 0.000361576047866626 1.69038894394977e-05 3.5823810860714e-07 3.39346468398682e-09 1.42415311370428e-11 2.63149157961011e-14
2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.43951294147238e-13 3.8854181601055e-06 0.00809656204627124 0.0320694680467883 0.0291185301730781 0.0240000368212128 0.0181639527999728 0.0126230660037904 0.00805518229241112 0.00471999919887799
2 7 0 0 0 0 0 0 0 0 0 0 0 0 2.4567843079581e-14 1.0325587418708e-10 9.35896957522856e-08 1.86568696841009e-05 0.00084859997839904 0.00950113274836707 0.0309940809578288 0.0416897494515589 0.036883174587579 0.0281093667762662 0.0193882561903732 0.0121317722825615 0.00688683560370692 0.00354670594257292
2 8 0.0078802763596393 0.0111533837216695 0.0150728386493177 0.0194393129539982 0.0239133240682542 0.0280447544141234 0.0313401582457099 0.0333565491724279 0.0337981218734189 0.0325871366485066 0.0298856573172107 0.0260599551204846 0.0215983506611177 0.0170081036336351 0.0127216111434286 0.00903548898537666 0.00609209058502951 0.00389831509825973 0.00236691446011579 0.00136329613961284 0.000744756236021482 0.000385811740116377 0.000189496577189453 8.82317695798077e-05 3.89389859086727e-05 1.62863403520343e-05
0 9 5.36442176455313e-17 2.21503675866608e-15 7.38474913963016e-14 1.98835917056922e-12 4.32494005471527e-11 7.60204049310001e-10 1.08019800739271e-08 1.24131190573452e-07 1.15417331402236e-06 8.68787488461787e-06 5.29767810563248e-05 0.00026188327951536 0.00105039347637981 0.00342176175788656 0.00906361734975734 0.019547316905993 0.0343776274886076 0.0493897152621898 0.0580824514648711 0.0560387421436053 0.0444696238846096 0.0291048715668963 0.0157568077921398 0.00707764587449302 0.00264573200161413 0.000825481876681749
0 10 0.00351258750889014 0.00603891209669389 0.0097951048461943 0.0149891945208907 0.021640452017806 0.0294763147833067 0.0378790317581301 0.0459243880961291 0.0525299168235124 0.0565971667061951 0.0140002944849828 3.86978534127485e-07 2.7888717457204e-17 0 0 0 0 0 0 0 0 0 0 0 0 0
0 11 5.90371657386056e-09 2.43051478328723e-08 9.38339709323551e-08 3.39703533691936e-07 1.1531855119639e-06 3.67050333328631e-06 1.09528753797064e-05 3.06356670629943e-05 8.02980452588992e-05 0.000197147795650088 0.000453164505453211 0.000974519172168704 0.00195887650598484 0.00367648484204634 0.00643447155325213 0.010486258291976 0.0158880852689795 0.0223430650739054 0.0291133364400129 0.0350895316211018 0.0390548960966116 0.0400768123651035 0.0378599151183962 0.0328800039253384 0.0262179039353786 0.0191724579136173
0 12 1.29543593771885e-05 6.53941411391416e-05 0.000278855040460587 0.00100445835419856 0.00305606773600263 0.007848258548765 0.0169476532231953 0.0303454048230609 0.0435481085577526 0.0473875528791471 0.0366729333578303 0.0190656152362443 0.00637934447224608 0.00133393730832996 0.000170934012153955 1.32496862644508e-05 6.1581382079006e-07 1.70576472043173e-08 2.80375694243585e-10 2.7261464223559e-12 1.56433469276481e-14 5.28794233117594e-17 1.05473716623097e-19 1.32274437877379e-22 0 0
1 9 0 0 0 0 0 0 0 0 0 2.47175508556896e-17 4.42166370850658e-14 3.20607976614357e-11 9.37056995161241e-09 1.11148011244881e-06 5.40627835900138e-05 0.00109659122651856 0.00954399361887085 0.0374925858220755 0.0727661414162687 0.0808242590564698 0.0616942484663362 0.0372251123570791 0.0187602373292013 0.00797723492515902 0.00286449756889236 0.000868642338650016
